index,door_number_3,door_number_5,body_type_Coupe,body_type_Sedan,body_type_SUV,body_type_Compact,gearbox_Automatic,gearbox_Manual,fuel_type_Gasoline,fuel_type_Diesel,fuel_type_Electric,make_Audi,make_BMW,make_Ford,make_Mercedes,make_Opel,make_Volkswagen,relevance
0,0.487376471,0.0,0.289913457,0.0,0.0,0.0,0.112728593,0.0,0.0,0.106680861,0.0,0.0,0.440119458,0.0,0.0,0.0,0.0,0.287363768
1,0.60901985,0.0,0.0,0.034073352,0.0,0.0,0.0,0.487606899,0.854415639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879690875,0.572961323
2,0.911866557,0.0,0.0,0.157146175,0.0,0.0,0.166287075,0.0,0.0,0.0,0.892822748,0.0,0.0,0.0,0.0,0.0,0.488813306,0.523387172
3,0.27596293,0.0,0.0,0.808659357,0.0,0.0,0.176106488,0.0,0.0,0.785555397,0.0,0.0,0.0,0.0,0.370688949,0.0,0.0,0.483394624
4,0.0,0.053873097,0.0,0.634986348,0.0,0.0,0.0,0.534680479,0.0,0.0,0.172499614,0.0,0.0,0.0,0.0,0.0,0.475579785,0.374323865
5,0.998766403,0.0,0.0,0.0,0.079397413,0.0,0.807704906,0.0,0.351448751,0.0,0.0,0.0,0.0,0.0,0.517110057,0.0,0.0,0.550885506
6,0.98648483,0.0,0.132456439,0.0,0.0,0.0,0.0,0.382599374,0.0,0.240188985,0.0,0.0,0.0,0.253517687,0.0,0.0,0.0,0.399049463
7,0.0,0.9866587,0.0,0.29860435,0.0,0.0,0.0,0.513519402,0.0,0.0,0.858172536,0.0,0.0,0.0,0.0,0.0,0.227703629,0.576931723
8,0.978473728,0.0,0.988334281,0.0,0.0,0.0,0.0,0.194322175,0.824997266,0.0,0.0,0.371190322,0.0,0.0,0.0,0.0,0.0,0.671463554
9,0.0,0.49505597,0.0,0.715032699,0.0,0.0,0.0,0.878615926,0.600013281,0.0,0.0,0.0,0.0,0.0,0.705790382,0.0,0.0,0.678901652
10,0.560416531,0.0,0.440554992,0.0,0.0,0.0,0.0,0.053487172,0.0,0.655325411,0.0,0.859829722,0.0,0.0,0.0,0.0,0.0,0.513922766
11,0.985378085,0.0,0.0,0.0,0.904942485,0.0,0.776689868,0.0,0.726425937,0.0,0.0,0.0,0.0,0.346395489,0.0,0.0,0.0,0.747966373
12,0.639448983,0.0,0.0,0.0,0.758918932,0.0,0.096676972,0.0,0.0,0.133078636,0.0,0.0,0.0,0.0,0.0,0.728866767,0.0,0.471398058
13,0.671023069,0.0,0.0,0.779656396,0.0,0.0,0.0,0.323579545,0.0,0.0,0.621547765,0.390633814,0.0,0.0,0.0,0.0,0.0,0.557288118
14,0.0,0.909740197,0.0,0.0,0.0,0.791825837,0.231025414,0.0,0.0,0.298211718,0.0,0.0,0.02722964,0.0,0.0,0.0,0.0,0.451606561
15,0.203693381,0.0,0.0,0.0,0.0,0.337941426,0.304579737,0.0,0.0,0.0,0.466268033,0.0,0.0,0.0,0.355022508,0.0,0.0,0.333501017
16,0.348971123,0.0,0.0,0.0,0.81290853,0.0,0.0,0.553063803,0.0,0.789212889,0.0,0.0,0.0,0.0,0.0,0.745691974,0.0,0.649969664
17,0.0,0.401678922,0.0,0.0,0.323250805,0.0,0.0,0.213195566,0.0,0.0,0.868374322,0.0,0.160988463,0.0,0.0,0.0,0.0,0.393497616
18,0.333018547,0.0,0.0,0.61108428,0.0,0.0,0.552628122,0.0,0.0,0.632279699,0.0,0.0,0.0,0.0,0.0,0.0,0.435944013,0.512990932
19,0.728588425,0.0,0.0,0.669116933,0.0,0.0,0.631891258,0.0,0.0,0.684682928,0.0,0.522642536,0.0,0.0,0.0,0.0,0.0,0.647384416
20,0.0,0.126740439,0.490238526,0.0,0.0,0.0,0.552250733,0.0,0.421179387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138299428,0.345741703
21,0.202068508,0.0,0.648734076,0.0,0.0,0.0,0.251271849,0.0,0.0,0.178644393,0.0,0.0,0.0,0.0,0.0,0.069107441,0.0,0.269965253
22,0.11406502,0.0,0.076261962,0.0,0.0,0.0,0.362155911,0.0,0.0,0.0,0.522046426,0.0,0.0,0.0,0.0,0.908008337,0.0,0.396507531
23,0.0,0.791078563,0.0,0.0,0.0,0.127488935,0.0,0.672751242,0.0,0.217322875,0.0,0.0,0.0,0.0,0.885743169,0.0,0.0,0.538876957
24,0.086675664,0.0,0.951364026,0.0,0.0,0.0,0.762572904,0.0,0.0,0.089873341,0.0,0.0,0.0,0.880934222,0.0,0.0,0.0,0.554284031
